Algorithm,Execution_Time,Steps
BFS,3.3563639000000194,23
DFS,0.13262040000006436,7113
IDDFS,2.1480169999999816,27
UCS,3.0161008999999694,23
Greedy,0.0031808999999611842,55
A*,0.023673799999983203,23
IDA*,0.021016300000042065,23
simulated,2.373205999999982,26573
beam,0.002378099999987171,51
Genetic,3.253548099999989,23
BFS_Belief,0.10452750000001743,6756
Backtracking,0.6284749000000147,0
Backtracking_FC,0.0003285000000232685,8
Min_Conflicts,0.01567899999997735,1000
Q-Learning,0.139560299999971,417
Backtracking,0.0001417999999375752,8
Hill,0.0018264000000272063,1
Hill_Simple,0.00020200000017212005,0
stochastic_hill,0.0002905000001192093,4
Q-Learning,0.20459690000006958,1455
Q-Learning,0.09917270000005374,1696
Greedy,0.00023949999922479037,0
Greedy,0.005620599999929254,66
Greedy,0.0033404999994672835,55
BFS,3.313143200000013,23
BFS,0.00046659999952680664,0
BFS,3.3400809999993726,23
DFS,0.14922850000039034,7113
DFS,0.0022531000004164525,0
A*,0.02231579999988753,23
A*,0.023727999999209715,23
BFS,3.6177895000000717,23
Q-Learning,0.191054199998689,545
